iter	RMSE
0	14.97220205
1	14.82129699
2	14.66900631
3	14.52721347
4	14.39143873
5	14.26144315
6	14.13683447
7	14.01807373
8	13.90282973
9	13.7874973
10	13.67867547
11	13.57458302
12	13.47356695
13	13.37676834
14	13.28530475
15	13.19441632
16	13.10309472
17	13.01727145
18	12.93324065
19	12.85662934
20	12.78235932
21	12.70914505
22	12.63911581
23	12.57134979
24	12.50711368
25	12.43633377
26	12.37278475
27	12.31381664
28	12.25579975
29	12.19722825
30	12.14161314
31	12.08726896
32	12.03615522
33	11.98652067
34	11.93699226
35	11.88821227
36	11.84266409
37	11.79858373
38	11.75336377
39	11.71260597
40	11.67498203
41	11.63748375
42	11.60097585
43	11.56408952
44	11.52705875
45	11.490488
46	11.45592943
47	11.42037943
48	11.38864143
49	11.36256454
50	11.32653302
51	11.2991792
52	11.27140503
53	11.24586093
54	11.21690596
55	11.19046069
56	11.16127497
57	11.13764111
58	11.11362717
59	11.08908107
60	11.06603538
61	11.04299634
62	11.02023595
63	10.99825037
64	10.97611903
