iter	Passed	Remaining
0	1241	6205790
1	3067	7666143
2	5375	8953375
3	7100	8868179
4	9091	9082026
5	10523	8759466
6	11994	8555269
7	13834	8632762
8	15519	8606400
9	17389	8677176
10	19167	8693506
11	20953	8709804
12	22313	8559617
13	24270	8643602
14	26228	8716612
15	27994	8720397
16	29967	8783939
17	31691	8771489
18	33461	8772302
19	35894	8937827
20	37956	8999406
21	39964	9042901
22	41678	9018769
23	43745	9069855
24	45215	8997849
25	47268	9042910
26	49140	9050999
27	50859	9031161
28	52711	9035553
29	54244	8986534
30	56101	8992527
31	57965	8999203
32	60748	9143605
33	62622	9146578
34	64272	9117464
35	66148	9121159
36	67904	9108357
37	69937	9132331
38	71953	9152859
39	73897	9163343
40	75628	9147334
41	77560	9155806
42	79564	9172159
43	81825	9216482
44	83910	9239528
45	85826	9243181
46	87661	9237992
47	90071	9292335
48	92164	9312346
49	93779	9284215
50	95670	9283798
51	97656	9292384
52	99539	9291001
53	101755	9320080
54	103949	9346032
55	105869	9346780
56	107826	9350649
57	109724	9349301
58	111280	9319258
59	113209	9320941
60	114809	9295773
61	117105	9326914
62	120085	9410501
63	121983	9408014
64	124202	9429851
